009_6, b8, [' W1', ' W10', ' W19', ' W27'], [' a7:b8', ' a8:b9', ' b7:c8', ' b8:c9']
009_7, b7, [' V10', ' V27', ' W1', ' W19'], [' a6:b7', ' a7:b8', ' b6:c7', ' b7:c8']
009_8, b7, [' V10', ' V27', ' W1', ' W19'], [' a6:b7', ' a7:b8', ' b6:c7', ' b7:c8']
009_9, b8, [' W1', ' W10', ' W19', ' W27'], [' a7:b8', ' a8:b9', ' b7:c8', ' b8:c9']
010_1, a8, [' W1', ' W10'], [' a7:b8', ' a8:b9']
010_2, a9, [' W10'], [' a8:b9']
010_3, a9, [' W10'], [' a8:b9']
010_4, b8, [' W1', ' W10', ' W19', ' W27'], [' a7:b8', ' a8:b9', ' b7:c8', ' b8:c9']
010_5, b9, [' W10', ' W27', ' X19'], [' a8:b9', ' b8:c9', ' b9:c10']
010_6, b9, [' W10', ' W27', ' X19'], [' a8:b9', ' b8:c9', ' b9:c10']
010_7, b8, [' W1', ' W10', ' W19', ' W27'], [' a7:b8', ' a8:b9', ' b7:c8', ' b8:c9']
010_8, b9, [' W10', ' W27', ' X19'], [' a8:b9', ' b8:c9', ' b9:c10']
010_9, b9, [' W10', ' W27', ' X19'], [' a8:b9', ' b8:c9', ' b9:c10']
011_1, b1, [' T1', ' T19'], [' a1:b2', ' b1:c2']
011_2, b1, [' T1', ' T19'], [' a1:b2', ' b1:c2']
011_3, b2, [' T1', ' T10', ' T19', ' T27'], [' a1:b2', ' a2:b3', ' b1:c2', ' b2:c3']
011_4, b1, [' T1', ' T19'], [' a1:b2', ' b1:c2']
011_5, b1, [' T1', ' T19'], [' a1:b2', ' b1:c2']
011_6, b2, [' T1', ' T10', ' T19', ' T27'], [' a1:b2', ' a2:b3', ' b1:c2', ' b2:c3']
011_7, c1, [' T19', ' T2'], [' b1:c2', ' c1:d2']
011_8, c1, [' T19', ' T2'], [' b1:c2', ' c1:d2']
011_9, c2, [' T11', ' T19', ' T2', ' T27'], [' b1:c2', ' b2:c3', ' c1:d2', ' c2:d3']
012_1, b2, [' T1', ' T10', ' T19', ' T27'], [' a1:b2', ' a2:b3', ' b1:c2', ' b2:c3']
012_2, b3, [' T10', ' T27', ' U1', ' U19'], [' a2:b3', ' a3:b4', ' b2:c3', ' b3:c4']
